,companyName,company_offeredRole,Seniority Level,skills_required
31,CITADEL ENTERPRISE EUROPE LIMITED,Software Engineer,Entry,"['probability', 'master', 'research', 'phd', 'computer science', 'bachelor', 'statistics']"
32,Microsoft,Software Engineer,Entry,"['c', 'python', 'java', 'perl']"
33,eBay Inc.,Software Engineer,Entry,['agile']
34,Applied Nanodetectors Ltd,Software Engineer,Mid,"['bachelor', 'deep learning', 'algorithm', 'python', 'optimization']"
35,Snapchat,Software Engineer,Entry,['computer science']
36,Intel,Software Engineer,Entry,['user interface']
37,Microsoft,Software Engineer,Entry,"['java', 'research', 'c', 'perl', 'python']"
38,Jane Street,Software Engineer,Entry,[]
39,"JPMorgan Chase Bank, N.A.",Software Engineer,Entry,"['javascript', 'algorithms', 'java', 'undergraduate', 'computer science', 'c', 'bachelor', 'python', 'data structures', 'graduate']"
40,"JPMorgan Chase Bank, N.A.",Software Engineer,Entry,"['javascript', 'agile', 'algorithms', 'java', 'undergraduate', 'senior', 'computer science', 'c', 'bachelor', 'python', 'data structures']"
41,Autodesk,Software Engineer,Entry,[]
42,Citrix,Software Engineer,Entry,"['javascript', 'algorithms', 'master', 'java', 'computer science', 'c', 'bachelor', 'python', 'data structures']"
43,Hewlett Packard Enterprise,Software Engineer,Entry,"['bachelors', 'api', 'object oriented programming', 'git', 'java', 'oop', 'devops', 'cloud', 'computer science', 'jira', 'c', 'python', 'linux']"
44,Amazon Data Services UK Ltd,Software Engineer,Entry,"['agile', 'algorithms', 'master', 'java', 'computer science', 'optimization', 'bachelor', 'data structures', 'python', 'algorithm']"
45,Facebook,Software Engineer,Entry,"['bachelors', 'javascript', 'java', 'computer science', 'python']"
46,Smart Currency Group,Software Engineer,Mid,"['api', 'master', 'azure', 'cloud', 'c', 'bachelor', 'aws', 'sql', 'cloud computing']"
47,Pearson,Software Engineer,Entry,"['azure', 'cyber security', 'cloud', 'computer science', 'aws', 'python']"
48,Expedia Group,Software Engineer,Entry,"['professional', 'github', 'algorithms', 'ml', 'excel', 'java', 'oop', 'full stack', 'devops', 'computer science', 'c', 'ux', 'python', 'data structures', 'machine learning']"
49,The Trade Desk,Software Engineer,Entry,"['master', 'computer science', 'bachelor', 'data processing', 'data structures']"
50,siHealth Ltd,Software Engineer,Mid,['bachelor']
51,Hire STEM Women,Software Engineer,Entry,['bachelor']
52,Echobox,Software Engineer,Entry,"['java', 'graduate']"
53,Unity Technologies,Software Engineer,Entry,"['data science', 'oop', 'debugging', 'c', 'bachelor']"
54,Visa,Software Engineer,Entry,"['javascript', 'algorithms', 'master', 'docker', 'java', 'nosql', 'computer science', 'c', 'bachelor', 'sql', 'python', 'rest']"
55,Careers at Waybridge,Software Engineer,Entry,"['docker', 'logistic', 'senior', 'aws', 'kubernetes', 'python', 'react']"
56,Unity Technologies,Software Engineer,Entry,"['c', 'bachelor']"
57,Amex,Software Engineer,Entry,"['professional', 'javascript', 'algorithms', 'master', 'java', 'senior', 'computer science', 'c', 'bachelor', 'rust', 'python', 'data structures', 'graduate']"
58,Twilio,Software Engineer,Entry,"['javascript', 'css', 'agile', 'continuous integration', 'html', 'phd', 'devops', 'computer science', 'bachelor', 'angular', 'aws', 'agile development', 'rest', 'react']"
59,Facebook,Software Engineer,Entry,"['bachelors', 'javascript', 'java', 'computer science', 'python']"
60,"JPMorgan Chase Bank, N.A.",Software Engineer,Entry,"['javascript', 'algorithms', 'java', 'undergraduate', 'computer science', 'c', 'bachelor', 'python', 'data structures', 'graduate']"
61,Unity Technologies,Software Engineer,Entry,"['data science', 'oop', 'debugging', 'c', 'bachelor']"
62,Amazon Data Services UK Ltd,Software Engineer,Entry,"['agile', 'algorithms', 'master', 'java', 'computer science', 'optimization', 'bachelor', 'data structures', 'python', 'algorithm']"
63,Autodesk,Software Engineer,Entry,[]
64,Applied Nanodetectors Ltd,Software Engineer,Mid,"['bachelor', 'deep learning', 'algorithm', 'python', 'optimization']"
65,Hire STEM Women,Software Engineer,Entry,['bachelor']
66,Amex,Software Engineer,Entry,"['professional', 'javascript', 'algorithms', 'master', 'java', 'senior', 'computer science', 'c', 'bachelor', 'rust', 'python', 'data structures', 'graduate']"
67,Snapchat,Software Engineer,Entry,['computer science']
68,Microsoft,Software Engineer,Entry,"['java', 'research', 'c', 'perl', 'python']"
69,Microsoft,Software Engineer,Entry,"['c', 'python', 'java', 'perl']"
70,Intel,Software Engineer,Entry,['user interface']
71,Pearson,Software Engineer,Entry,"['azure', 'cyber security', 'cloud', 'computer science', 'aws', 'python']"
72,Maya HTT,Software Engineer,Entry,"['agile', 'java', 'undergraduate', 'oop', 'senior', 'computer science', 'c', 'agile development', 'python']"
73,Visa,Software Engineer,Entry,"['javascript', 'algorithms', 'master', 'docker', 'java', 'nosql', 'computer science', 'c', 'bachelor', 'sql', 'python', 'rest']"
74,Hewlett Packard Enterprise,Software Engineer,Entry,"['bachelors', 'api', 'object oriented programming', 'git', 'java', 'oop', 'devops', 'cloud', 'computer science', 'jira', 'c', 'python', 'linux']"
75,Smart Currency Group,Software Engineer,Mid,"['api', 'master', 'azure', 'cloud', 'c', 'bachelor', 'aws', 'sql', 'cloud computing']"
76,Jane Street,Software Engineer,Entry,[]
77,CITADEL ENTERPRISE EUROPE LIMITED,Software Engineer,Entry,"['probability', 'master', 'research', 'phd', 'computer science', 'bachelor', 'statistics']"
78,Citrix,Software Engineer,Entry,"['javascript', 'algorithms', 'master', 'java', 'computer science', 'c', 'bachelor', 'python', 'data structures']"
79,Careers at Waybridge,Software Engineer,Entry,"['docker', 'logistic', 'senior', 'aws', 'kubernetes', 'python', 'react']"
80,siHealth Ltd,Software Engineer,Mid,['bachelor']
81,The Trade Desk,Software Engineer,Entry,"['master', 'computer science', 'bachelor', 'data processing', 'data structures']"
82,Twilio,Software Engineer,Entry,"['javascript', 'css', 'agile', 'continuous integration', 'html', 'phd', 'devops', 'computer science', 'bachelor', 'angular', 'aws', 'agile development', 'rest', 'react']"
83,Echobox,Software Engineer,Entry,"['java', 'graduate']"
84,eBay Inc.,Software Engineer,Entry,['agile']
85,"JPMorgan Chase Bank, N.A.",Software Engineer,Entry,"['javascript', 'agile', 'algorithms', 'java', 'undergraduate', 'senior', 'computer science', 'c', 'bachelor', 'python', 'data structures']"
86,Expedia Group,Software Engineer,Entry,"['professional', 'github', 'algorithms', 'ml', 'excel', 'java', 'oop', 'full stack', 'devops', 'computer science', 'c', 'ux', 'python', 'data structures', 'machine learning']"
87,Moley robotics,Software Engineer,Mid,"['algorithms', 'agile', 'computer vision', 'computer science', 'agile development']"
88,Unity Technologies,Software Engineer,Entry,"['c', 'bachelor']"
89,Jane Street,Software Engineer,Entry,[]
90,Autodesk,Software Engineer,Entry,[]
91,Smart Currency Group,Software Engineer,Mid,"['api', 'master', 'azure', 'cloud', 'c', 'bachelor', 'aws', 'sql', 'cloud computing']"
92,Microsoft,Software Engineer,Entry,"['java', 'research', 'c', 'perl', 'python']"
93,Visa,Software Engineer,Entry,"['javascript', 'algorithms', 'master', 'docker', 'java', 'nosql', 'computer science', 'c', 'bachelor', 'sql', 'python', 'rest']"
94,"JPMorgan Chase Bank, N.A.",Software Engineer,Entry,"['javascript', 'agile', 'algorithms', 'java', 'undergraduate', 'senior', 'computer science', 'c', 'bachelor', 'python', 'data structures']"
95,Facebook,Software Engineer,Entry,"['bachelors', 'javascript', 'java', 'computer science', 'python']"
96,Unity Technologies,Software Engineer,Entry,"['c', 'bachelor']"
97,Amazon Data Services UK Ltd,Software Engineer,Entry,"['agile', 'algorithms', 'master', 'java', 'computer science', 'optimization', 'bachelor', 'data structures', 'python', 'algorithm']"
98,Hire STEM Women,Software Engineer,Entry,['bachelor']
99,Amex,Software Engineer,Entry,"['professional', 'javascript', 'algorithms', 'master', 'java', 'senior', 'computer science', 'c', 'bachelor', 'rust', 'python', 'data structures', 'graduate']"
100,Echobox,Software Engineer,Entry,"['java', 'graduate']"
101,Twilio,Software Engineer,Entry,"['javascript', 'css', 'agile', 'continuous integration', 'html', 'phd', 'devops', 'computer science', 'bachelor', 'angular', 'aws', 'agile development', 'rest', 'react']"
102,CITADEL ENTERPRISE EUROPE LIMITED,Software Engineer,Entry,"['probability', 'master', 'research', 'phd', 'computer science', 'bachelor', 'statistics']"
103,Citrix,Software Engineer,Entry,"['javascript', 'algorithms', 'master', 'java', 'computer science', 'c', 'bachelor', 'python', 'data structures']"
104,Applied Nanodetectors Ltd,Software Engineer,Mid,"['bachelor', 'deep learning', 'algorithm', 'python', 'optimization']"
105,eBay Inc.,Software Engineer,Entry,['agile']
106,siHealth Ltd,Software Engineer,Mid,['bachelor']
107,"JPMorgan Chase Bank, N.A.",Software Engineer,Entry,"['javascript', 'algorithms', 'java', 'undergraduate', 'computer science', 'c', 'bachelor', 'python', 'data structures', 'graduate']"
108,Moley robotics,Software Engineer,Mid,"['algorithms', 'agile', 'computer vision', 'computer science', 'agile development']"
109,Unity Technologies,Software Engineer,Entry,"['data science', 'oop', 'debugging', 'c', 'bachelor']"
110,Careers at Waybridge,Software Engineer,Entry,"['docker', 'logistic', 'senior', 'aws', 'kubernetes', 'python', 'react']"
111,Maya HTT,Software Engineer,Entry,"['agile', 'java', 'undergraduate', 'oop', 'senior', 'computer science', 'c', 'agile development', 'python']"
112,Pearson,Software Engineer,Entry,"['azure', 'cyber security', 'cloud', 'computer science', 'aws', 'python']"
113,Microsoft,Software Engineer,Entry,"['c', 'python', 'java', 'perl']"
114,Intel,Software Engineer,Entry,['user interface']
115,The Trade Desk,Software Engineer,Entry,"['master', 'computer science', 'bachelor', 'data processing', 'data structures']"
116,Expedia Group,Software Engineer,Entry,"['professional', 'github', 'algorithms', 'ml', 'excel', 'java', 'oop', 'full stack', 'devops', 'computer science', 'c', 'ux', 'python', 'data structures', 'machine learning']"
117,Snapchat,Software Engineer,Entry,['computer science']
118,Hewlett Packard Enterprise,Software Engineer,Entry,"['bachelors', 'api', 'object oriented programming', 'git', 'java', 'oop', 'devops', 'cloud', 'computer science', 'jira', 'c', 'python', 'linux']"
119,STERIS,Software Engineer,Entry,"['java', 'research', 'c', 'matlab', 'python', 'optimization']"
120,Smartcare Software,Software Engineer,Entry,"['professional', 'api', 'agile', 'java', 'full stack', 'c', 'aws', 'php']"
121,NOKIA,Software Engineer,Entry,"['computer science', 'python', 'linux']"
122,Intuit,Software Engineer,Entry,"['bachelors', 'javascript', 'agile', 'css', 'java', 'senior', 'devops', 'computer science', 'c', 'agile development', 'python', 'web design']"
123,Experian,Software Engineer,Entry,"['java', 'computer science', 'debugging', 'bachelor', 'hadoop', 'big data', 'python']"
124,Bose,Software Engineer,Entry,"['ml', 'master', 'cloud', 'computer science', 'bachelor', 'cloud computing', 'machine learning']"
125,DraftKings,Software Engineer,Senior,"['javascript', 'git', 'java', 'senior', 'c']"
126,TikTok,Software Engineer,Entry,"['master', 'backend', 'java', 'computer science', 'c', 'bachelor', 'python', 'machine learning']"
127,OXO Solutions,Software Engineer,Entry,"['computer science', 'python', 'continuous integration', 'web developer']"
128,FactSet Research Systems,Software Engineer,Entry,"['javascript', 'professional', 'undergraduate', 'oop', 'cs', 'computer science', 'c']"
129,Snapchat,Software Engineer,Entry,"['computer science', 'bachelor', 'cs']"
130,Niantic,Software Engineer,Entry,"['algorithms', 'master', 'phd', 'computer science', 'debugging', 'bachelor', 'data structures']"
131,Qorvo,Software Engineer,Entry,"['computer science', 'cs']"
132,Momentive,Software Engineer,Entry,"['javascript', 'algorithms', 'css', 'html', 'java', 'cs', 'computer science', 'bachelor', 'python', 'data structures']"
133,Tesla,Software Engineer,Entry,"['computer science', 'c', 'python']"
134,Tesla,Software Engineer,Entry,"['computer science', 'ms', 'algorithms', 'python']"
135,Splunk,Software Engineer,Entry,"['javascript', 'api', 'agile', 'git', 'docker', 'java', 'jenkins', 'aws', 'splunk', 'agile development', 'python', 'rest', 'gcp']"
136,MasterCard,Software Engineer,Entry,"['algorithms', 'agile', 'java', 'senior', 'computer science', 'bachelor', 'data structures']"
137,Sentry,Software Engineer,Entry,"['javascript', 'github', 'dynamic programming', 'algorithms', 'undergraduate', 'pyspark', 'computer science', 'apache', 'python', 'data structures']"
138,Leidos,Software Engineer,Entry,"['git', 'java', 'research', 'data analytics', 'vs', 'computer science', 'python', 'jupyter']"
139,Salesforce,Software Engineer,Entry,"['professional', 'javascript', 'algorithms', 'salesforce', 'html', 'ms', 'senior', 'cs', 'computer science', 'sql', 'data structures']"
140,Vectorworks Inc.,Software Engineer,Entry,"['professional', 'java', 'undergraduate', 'research', 'senior', 'c', 'xcode', 'sql', 'graduate']"
141,Relativity,Software Engineer,Entry,"['javascript', 'agile', 'clustering', 'computer science', 'c', 'agile development']"
142,NVIDIA,Software Engineer,Entry,"['javascript', 'git', 'css', 'html', 'backend', 'mysql', 'debugging', 'oracle', 'bachelor', 'computer science', 'angular', 'aws', 'sql', 'python', 'eclipse', 'rest', 'react']"
143,Productiv Inc,Software Engineer,Entry,"['computer science', 'algorithms', 'data structures', 'aws']"
144,Sage Bionetworks,Software Engineer,Entry,"['github', 'agile', 'css', 'html', 'senior', 'cloud', 'data visualization', 'eclipse', 'javascript', 'mysql', 'cloud computing', 'java', 'agile development', 'web design', 'professional', 'visualization', 'computer science', 'jira', 'python']"
145,"MyWay Deliveries, LLC",Software Engineer,Entry,"['professional', 'java', 'computer science', 'debugging', 'bachelor', 'rest']"
146,Netflix,Software Engineer,Senior,"['algorithms', 'git', 'system design', 'java', 'senior', 'cloud', 'computer science', 'bachelor', 'data structures']"
147,Electronic Arts,Software Engineer,Entry,"['master', 'excel', 'amazon web services', 'java', 'azure', 'cloud', 'visual studio', 'c', 'bachelor', 'python', 'eclipse', 'graduate']"
148,Amazon.com Services LLC,Software Engineer,Entry,"['agile', 'master', 'java', 'computer science', 'c', 'bachelor', 'data structures', 'python', 'algorithm']"
149,Vectorworks Inc.,Software Engineer,Entry,"['professional', 'java', 'undergraduate', 'research', 'senior', 'c', 'xcode', 'sql', 'graduate']"
150,MasterCard,Software Engineer,Entry,"['algorithms', 'agile', 'java', 'senior', 'computer science', 'bachelor', 'data structures']"
151,Salesforce,Software Engineer,Entry,"['professional', 'javascript', 'algorithms', 'salesforce', 'html', 'ms', 'senior', 'cs', 'computer science', 'sql', 'data structures']"
152,Intuit,Software Engineer,Entry,"['bachelors', 'javascript', 'agile', 'css', 'java', 'senior', 'devops', 'computer science', 'c', 'agile development', 'python', 'web design']"
153,Smartcare Software,Software Engineer,Entry,"['professional', 'api', 'agile', 'java', 'full stack', 'c', 'aws', 'php']"
154,Qorvo,Software Engineer,Entry,"['computer science', 'cs']"
155,STERIS,Software Engineer,Entry,"['java', 'research', 'c', 'matlab', 'python', 'optimization']"
156,DraftKings,Software Engineer,Senior,"['javascript', 'git', 'java', 'senior', 'c']"
157,OXO Solutions,Software Engineer,Entry,"['computer science', 'python', 'continuous integration', 'web developer']"
158,NOKIA,Software Engineer,Entry,"['computer science', 'python', 'linux']"
159,Momentive,Software Engineer,Entry,"['javascript', 'algorithms', 'css', 'html', 'java', 'cs', 'computer science', 'bachelor', 'python', 'data structures']"
160,TikTok,Software Engineer,Entry,"['master', 'backend', 'java', 'computer science', 'c', 'bachelor', 'python', 'machine learning']"
161,Amazon.com Services LLC,Software Engineer,Entry,"['agile', 'master', 'java', 'computer science', 'c', 'bachelor', 'data structures', 'python', 'algorithm']"
162,Netflix,Software Engineer,Senior,"['algorithms', 'git', 'system design', 'java', 'senior', 'cloud', 'computer science', 'bachelor', 'data structures']"
163,Bose,Software Engineer,Entry,"['ml', 'master', 'cloud', 'computer science', 'bachelor', 'cloud computing', 'machine learning']"
164,FactSet Research Systems,Software Engineer,Entry,"['javascript', 'professional', 'undergraduate', 'oop', 'cs', 'computer science', 'c']"
165,Splunk,Software Engineer,Entry,"['javascript', 'api', 'agile', 'git', 'docker', 'java', 'jenkins', 'aws', 'splunk', 'agile development', 'python', 'rest', 'gcp']"
166,Electronic Arts,Software Engineer,Entry,"['master', 'excel', 'amazon web services', 'java', 'azure', 'cloud', 'visual studio', 'c', 'bachelor', 'python', 'eclipse', 'graduate']"
167,NVIDIA,Software Engineer,Entry,"['javascript', 'git', 'css', 'html', 'backend', 'mysql', 'debugging', 'oracle', 'bachelor', 'computer science', 'angular', 'aws', 'sql', 'python', 'eclipse', 'rest', 'react']"
168,Productiv Inc,Software Engineer,Entry,"['computer science', 'algorithms', 'data structures', 'aws']"
169,Tesla,Software Engineer,Entry,"['computer science', 'ms', 'algorithms', 'python']"
170,Sentry,Software Engineer,Entry,"['javascript', 'github', 'dynamic programming', 'algorithms', 'undergraduate', 'pyspark', 'computer science', 'apache', 'python', 'data structures']"
171,Tesla,Software Engineer,Entry,"['computer science', 'c', 'python']"
172,Niantic,Software Engineer,Entry,"['algorithms', 'master', 'phd', 'computer science', 'debugging', 'bachelor', 'data structures']"
173,Snapchat,Software Engineer,Entry,"['computer science', 'bachelor', 'cs']"
174,"MyWay Deliveries, LLC",Software Engineer,Entry,"['professional', 'java', 'computer science', 'debugging', 'bachelor', 'rest']"
175,Sage Bionetworks,Software Engineer,Entry,"['github', 'agile', 'css', 'html', 'senior', 'cloud', 'data visualization', 'eclipse', 'javascript', 'mysql', 'cloud computing', 'java', 'agile development', 'web design', 'professional', 'visualization', 'computer science', 'jira', 'python']"
176,Experian,Software Engineer,Entry,"['java', 'computer science', 'debugging', 'bachelor', 'hadoop', 'big data', 'python']"
177,"MyWay Deliveries, LLC",Software Engineer,Entry,"['professional', 'java', 'computer science', 'debugging', 'bachelor', 'rest']"
178,DraftKings,Software Engineer,Senior,"['javascript', 'git', 'java', 'senior', 'c']"
179,Tesla,Software Engineer,Entry,"['computer science', 'ms', 'algorithms', 'python']"
180,Electronic Arts,Software Engineer,Entry,"['master', 'excel', 'amazon web services', 'java', 'azure', 'cloud', 'visual studio', 'c', 'bachelor', 'python', 'eclipse', 'graduate']"
181,Sage Bionetworks,Software Engineer,Entry,"['github', 'agile', 'css', 'html', 'senior', 'cloud', 'data visualization', 'eclipse', 'javascript', 'mysql', 'cloud computing', 'java', 'agile development', 'web design', 'professional', 'visualization', 'computer science', 'jira', 'python']"
182,TikTok,Software Engineer,Entry,"['master', 'backend', 'java', 'computer science', 'c', 'bachelor', 'python', 'machine learning']"
183,Qorvo,Software Engineer,Entry,"['computer science', 'cs']"
184,Leidos,Software Engineer,Entry,"['git', 'java', 'research', 'data analytics', 'vs', 'computer science', 'python', 'jupyter']"
185,FactSet Research Systems,Software Engineer,Entry,"['javascript', 'professional', 'undergraduate', 'oop', 'cs', 'computer science', 'c']"
186,Smartcare Software,Software Engineer,Entry,"['professional', 'api', 'agile', 'java', 'full stack', 'c', 'aws', 'php']"
187,Snapchat,Software Engineer,Entry,"['computer science', 'bachelor', 'cs']"
188,Splunk,Software Engineer,Entry,"['javascript', 'api', 'agile', 'git', 'docker', 'java', 'jenkins', 'aws', 'splunk', 'agile development', 'python', 'rest', 'gcp']"
189,Salesforce,Software Engineer,Entry,"['professional', 'javascript', 'algorithms', 'salesforce', 'html', 'ms', 'senior', 'cs', 'computer science', 'sql', 'data structures']"
190,Tesla,Software Engineer,Entry,"['computer science', 'c', 'python']"
191,STERIS,Software Engineer,Entry,"['java', 'research', 'c', 'matlab', 'python', 'optimization']"
192,Bose,Software Engineer,Entry,"['ml', 'master', 'cloud', 'computer science', 'bachelor', 'cloud computing', 'machine learning']"
193,Amazon.com Services LLC,Software Engineer,Entry,"['agile', 'master', 'java', 'computer science', 'c', 'bachelor', 'data structures', 'python', 'algorithm']"
194,MasterCard,Software Engineer,Entry,"['algorithms', 'agile', 'java', 'senior', 'computer science', 'bachelor', 'data structures']"
195,Netflix,Software Engineer,Senior,"['algorithms', 'git', 'system design', 'java', 'senior', 'cloud', 'computer science', 'bachelor', 'data structures']"
196,Niantic,Software Engineer,Entry,"['algorithms', 'master', 'phd', 'computer science', 'debugging', 'bachelor', 'data structures']"
197,NVIDIA,Software Engineer,Entry,"['javascript', 'git', 'css', 'html', 'backend', 'mysql', 'debugging', 'oracle', 'bachelor', 'computer science', 'angular', 'aws', 'sql', 'python', 'eclipse', 'rest', 'react']"
198,Vectorworks Inc.,Software Engineer,Entry,"['professional', 'java', 'undergraduate', 'research', 'senior', 'c', 'xcode', 'sql', 'graduate']"
199,OXO Solutions,Software Engineer,Entry,"['computer science', 'python', 'continuous integration', 'web developer']"
200,Productiv Inc,Software Engineer,Entry,"['computer science', 'algorithms', 'data structures', 'aws']"
201,Relativity,Software Engineer,Entry,"['javascript', 'agile', 'clustering', 'computer science', 'c', 'agile development']"
202,Intuit,Software Engineer,Entry,"['bachelors', 'javascript', 'agile', 'css', 'java', 'senior', 'devops', 'computer science', 'c', 'agile development', 'python', 'web design']"
203,Experian,Software Engineer,Entry,"['java', 'computer science', 'debugging', 'bachelor', 'hadoop', 'big data', 'python']"
204,Sentry,Software Engineer,Entry,"['javascript', 'github', 'dynamic programming', 'algorithms', 'undergraduate', 'pyspark', 'computer science', 'apache', 'python', 'data structures']"
205,NOKIA,Software Engineer,Entry,"['computer science', 'python', 'linux']"
206,Momentive,Software Engineer,Entry,"['javascript', 'algorithms', 'css', 'html', 'java', 'cs', 'computer science', 'bachelor', 'python', 'data structures']"
207,Sentry,Software Engineer,Entry,"['javascript', 'github', 'dynamic programming', 'algorithms', 'undergraduate', 'pyspark', 'computer science', 'apache', 'python', 'data structures']"
208,MasterCard,Software Engineer,Entry,"['algorithms', 'agile', 'java', 'senior', 'computer science', 'bachelor', 'data structures']"
209,Intuit,Software Engineer,Entry,"['bachelors', 'javascript', 'agile', 'css', 'java', 'senior', 'devops', 'computer science', 'c', 'agile development', 'python', 'web design']"
210,Momentive,Software Engineer,Entry,"['javascript', 'algorithms', 'css', 'html', 'java', 'cs', 'computer science', 'bachelor', 'python', 'data structures']"
211,Productiv Inc,Software Engineer,Entry,"['computer science', 'algorithms', 'data structures', 'aws']"
212,Experian,Software Engineer,Entry,"['java', 'computer science', 'debugging', 'bachelor', 'hadoop', 'big data', 'python']"
213,FactSet Research Systems,Software Engineer,Entry,"['javascript', 'professional', 'undergraduate', 'oop', 'cs', 'computer science', 'c']"
214,Sage Bionetworks,Software Engineer,Entry,"['github', 'agile', 'css', 'html', 'senior', 'cloud', 'data visualization', 'eclipse', 'javascript', 'mysql', 'cloud computing', 'java', 'agile development', 'web design', 'professional', 'visualization', 'computer science', 'jira', 'python']"
215,OXO Solutions,Software Engineer,Entry,"['computer science', 'python', 'continuous integration', 'web developer']"
216,NOKIA,Software Engineer,Entry,"['computer science', 'python', 'linux']"
217,Tesla,Software Engineer,Entry,"['computer science', 'ms', 'algorithms', 'python']"
218,Leidos,Software Engineer,Entry,"['git', 'java', 'research', 'data analytics', 'vs', 'computer science', 'python', 'jupyter']"
219,Bose,Software Engineer,Entry,"['ml', 'master', 'cloud', 'computer science', 'bachelor', 'cloud computing', 'machine learning']"
220,Splunk,Software Engineer,Entry,"['javascript', 'api', 'agile', 'git', 'docker', 'java', 'jenkins', 'aws', 'splunk', 'agile development', 'python', 'rest', 'gcp']"
221,Relativity,Software Engineer,Entry,"['javascript', 'agile', 'clustering', 'computer science', 'c', 'agile development']"
222,Snapchat,Software Engineer,Entry,"['computer science', 'bachelor', 'cs']"
223,DraftKings,Software Engineer,Senior,"['javascript', 'git', 'java', 'senior', 'c']"
224,Vectorworks Inc.,Software Engineer,Entry,"['professional', 'java', 'undergraduate', 'research', 'senior', 'c', 'xcode', 'sql', 'graduate']"
225,Niantic,Software Engineer,Entry,"['algorithms', 'master', 'phd', 'computer science', 'debugging', 'bachelor', 'data structures']"
226,Electronic Arts,Software Engineer,Entry,"['master', 'excel', 'amazon web services', 'java', 'azure', 'cloud', 'visual studio', 'c', 'bachelor', 'python', 'eclipse', 'graduate']"
227,Salesforce,Software Engineer,Entry,"['professional', 'javascript', 'algorithms', 'salesforce', 'html', 'ms', 'senior', 'cs', 'computer science', 'sql', 'data structures']"
228,Tesla,Software Engineer,Entry,"['computer science', 'c', 'python']"
229,Amazon.com Services LLC,Software Engineer,Entry,"['agile', 'master', 'java', 'computer science', 'c', 'bachelor', 'data structures', 'python', 'algorithm']"
