,userId,Years_of_Exper,Degree,AllSkills
11,371916239,Entry,Master's,"['machine learning', 'swift ', 'web development', 'backend', 'full-stack development', 'nltk', 'cascading style sheets (css)', 'ios', 'android', 'c', 'git', 'rests', 'html', 'sql', 'cybersecurity', 'flask', 'node.js', 'pytorch', 'angular', 'scikit-learn', 'java', 'pandas', 'software development', 'tensorflow', 'javascript', 'c++', 'front-end development', 'python ']"
12,692309066,Mid,Master's,"['web development', 'full-stack development', 'cascading style sheets (css)', 'android', 'c', 'git', 'rests', 'google kubernetes engine (gke)', 'soap', 'html', 'sql', 'mongodb', 'html5', 'amazon s3', 'node.js', 'django rest framework', 'scala', 'nosql', 'react', 'java', 'amazon ec2', 'docker', 'agile web development', 'javascript', 'c++', 'google cloud platform (gcp)', 'object-oriented programming (oop)', 'go ', 'python ']"
13,675001440,Entry,Bachelor’s,"['python', 'html/css', 'javascript', 'sql', 'react', 'r', 'java']"
14,400378254,Entry,Master's,"['jira', 'bootstrap', 'javascript', 'angular', 'web development', 'sql', 'jquery', 'cascading style sheets (css)', 'jenkins', 'python ', 'pycharm', 'html5']"
15,683966959,Entry,Bachelor’s,"['javascript', 'c++', 'python ', 'java']"
16,313342183,Entry,Bachelor’s,"['django', 'python', 'machine learning', 'git', 'web development', 'javascript', 'c++', 'backend', 'object-oriented programming (oop)', 'java']"
17,653551168,Entry,Not Given,"['python', 'c++', 'research', 'html', 'java']"
18,361446172,Entry,Master's,"['sql', 'python', 'c', 'java']"
19,688166095,Entry,Bachelor’s,"['data science', 'c', 'web development', 'c++', 'data structures', 'algorithm', 'html', 'react', 'cascading style sheets (css)', 'java', 'python ']"
20,653531353,Entry,Not Given,"['bootstrap', 'javascript', 'web development', 'sql', 'jquery', 'cascading style sheets (css)', 'github', 'html5']"
21,691586014,Entry,Bachelor’s,"['flask', 'docker', 'git', 'javascript', 'c++', 'nlp', 'web applications', 'sql', 'object-oriented programming (oop)', 'cascading style sheets (css)', 'java', 'html', 'python ', 'ai']"
22,715424256,Entry,Not Given,"['web development', 'cascading style sheets (css)', 'web-based software development', 'open source software', 'c', 'git', 'computer science', 'scrum', 'sql', 'html', 'github', 'web applications', 'node.js', 'javascript libraries', 'computer architecture', 'react', 'java', 'c#', 'javascript', 'django (python)', 'object-oriented programming (oop)', 'python ']"
23,541816371,Entry,Master's,"['android development', 'algorithm', 'c++', 'java']"
24,735716342,Entry,Bachelor’s,"['web development', 'javascript', 'c++', 'algorithm', 'java', 'c ']"
25,204791658,Entry,Bachelor’s,"['research', 'python', 'aws lambda']"
26,723190292,Entry,Bachelor’s,"['data science', 'javascript', 'python ', 'java']"
27,664516523,Entry,Bachelor’s,"['algorithm and data structures', 'docker', 'software development', 'deep learning', 'python ']"
28,674622348,Mid,Master's,[]
29,778187122,Mid,Master's,"['numpy', 'opencv', 'git', 'node.js', 'tensorflow', 'javascript', 'matlab', 'qt', 'c++', 'html', 'cascading style sheets (css)', 'matplotlib', 'pandas ', 'python ']"
30,460612545,Mid,Master's,"['python', 'c', 'c++', 'algorithm', 'html', 'php', 'css']"
31,710134279,Entry,Bachelor’s,"['python', 'c#', 'git', 'javascript', 'c++', 'data structures', 'algorithm', 'sql', 'react', 'r', 'java', 'front-end development', 'c ']"
32,417666743,Entry,Master's,"['django', 'machine learning', 'bootstrap', 'cascading style sheets (css)', 'numpy', 'c', 'shell scripting', 'algorithm', 'html', 'sql', 'mongodb', 'data structures', 'scikit-learn', 'r', 'java', 'python', 'javascript', 'keras', 'c++', 'deep learning']"
33,618316900,Entry,Not Given,"['xcode', 'c#', 'git', 'javascript', 'kotlin', '.net', 'java', 'python ']"
34,450274439,Mid,Master's,"['android', 'rest', 'spark', 'docker', 'node.js', 'javascript', 'c++', 'cicd', 'sql', 'html', 'nosql', 'java', 'deep learning', 'hadoop']"
35,565129948,Entry,Master's,"['c/c++', 'python', 'javascript']"
36,751168915,Entry,Master's,"['python', 'machine learning', 'c', 'c++', 'java', 'computer vision']"
37,347454534,Entry,Master's,"['bootstrap', 'backend', 'android development', 'cascading style sheets (css)', 'responsive web design', 'android', 'html', 'sql', 'github', 'web applications', 'html5', 'css3', 'node.js', 'web application development', 'react', 'java', 'software development', 'amazon ec2', 'javascript', 'c++', 'android studio', 'php', 'jquery', 'python ']"
38,573023315,Mid,Master's,['java']
39,480306439,Entry,Master's,"['numpy', 'c', 'javascript', 'sensors', 'matlab', 'data structures', 'algorithm', 'html', 'sql', 'front-end development', 'java', 'computer vision', 'deep learning', 'python ']"
40,57829579,Senior,Master's,"['algorithm', 'c++', 'matlab', 'c']"
41,478488139,Entry,Master's,"['c', 'git', 'javascript', 'c++', 'computer science', 'maven', 'sql', 'react', 'java', 'typescript', 'software development', 'python ']"
42,600072438,Entry,Master's,"['python', 'machine learning', 'javascript', 'matlab', 'computer science', 'research', 'algorithm', 'react', 'ios', 'web applications', 'java']"
43,27207088,Mid,PhD,"['data mining', 'software engineering', 'machine learning', 'python', 'c', 'c++', 'matlab', 'computer science', 'artificial intelligence', 'algorithm', 'java']"
44,683867075,Entry,Master's,"['python', 'c++', 'data structures', 'sql', 'java']"
45,530659344,Entry,Bachelor’s,"['python', 'git', 'c++', 'standard ml', 'sql', 'java']"
46,775328907,Mid,Master's,"['scripting', 'machine learning', 'genetic algorithm', 'cascading style sheets (css)', 'numpy', 'c', 'git', 'computer science', 'algorithm', 'sql', 'big data', 'mongodb', 'github', 'html5', 'data science', 'angular', 'genetic programming', 'matlab', 'data structures', 'nosql', 'scikit-learn', 'r', 'java', 'tensorflow', 'javascript', 'c++', 'scipy', 'typescript', 'pandas ', 'python ']"
47,639040469,Mid,Bachelor’s,"['python', 'node.js', 'c++', 'backend', 'mongodb', 'sql', 'java', 'software development']"
48,188731231,Entry,Master's,"['rest', 'c', 'git', 'angular', 'javascript', 'data structures', 'maven', 'algorithm', 'sql', 'html', 'cascading style sheets (css)', 'eclipse', 'jquery', 'java']"
49,717494113,Mid,Bachelor’s,"['javascript', 'html', 'object-oriented programming (oop)', 'java']"
50,191796658,Mid,Bachelor’s,"['android', 'python', 'c', 'javascript', 'c++', 'mapreduce', 'computer science', 'android development', 'algorithm', 'sql', 'html', 'r', 'java', 'hadoop']"
51,107497618,Mid,Not Given,"['continuous integration and continuous delivery (ci/cd)', 'rest', 'python', 'aws lambda', 'c', 'node.js', 'data structures', 'google cloud platform (gcp)', 'algorithm', 'cloud computing', 'go ', 'typescript']"
52,460760473,Mid,Master's,"['rust ', 'css3', 'python', 'c', 'c#', 'javascript', 'kotlin', 'c++', 'android development', 'algorithm', 'sql', 'bash', 'html', 'java', 'html5']"
53,374891432,Mid,Bachelor’s,"['python', 'c', 'c++', 'computer science', 'research', 'scala', 'ml', 'java', 'ruby', 'hadoop']"
54,460165763,Mid,Master's,"['software engineering', 'python', 'docker', 'c', 'c#', 'node.js', 'javascript', 'c++', 'matlab', 'data structures', 'algorithm', 'sql', 'react', 'java', 'css', 'html5']"
55,49372792,Mid,Bachelor’s,"['python', 'c#', 'c++', 'computer science', 'php', 'html', 'ruby']"
56,108885238,Mid,Master's,"['python', 'pytorch', 'c++', 'nlp', 'scala', 'typescript', 'deep learning']"
57,531567148,Entry,Bachelor’s,"['python', 'c', 'git', 'web development', 'javascript', 'c++', 'php', 'html', 'cascading style sheets (css)', 'react']"
58,443107964,Entry,PhD,"['software engineering', 'machine learning', 'c', 'c++', 'matlab', 'computer science', 'artificial intelligence', 'maven', 'algorithm', 'cloud computing', 'java']"
59,320663338,Mid,Bachelor’s,"['jira', 'git', 'bootstrap', 'angular', 'javascript', 'sql', 'html', 'react', 'typescript', 'css', 'oop', 'visual studio']"
60,440700307,Entry,Master's,"['machine learning', 'cloud computing', 'data mining', 'aws lambda', 'git', 'computer science', 'algorithm', 'html', 'devops', 'ai', 'data science', 'node.js', 'pytorch', 'data structures', 'java', 'mlops', 'software development', 'aws sagemaker', 'python', 'docker', 'tensorflow', 'javascript', 'object-oriented programming (oop)', 'jenkins', 'go ', 'computer vision', 'deep learning']"
61,536129795,Mid,Master's,"['natural language processing', 'data science', 'machine learning', 'python', 'reinforcement learning', 'c++', 'matlab', 'calculus', 'research', 'numerical linear algebra', 'sql', 'deep learning', 'unsupervised learning', 'statistics']"
62,372961138,Entry,Master's,"['data science', 'software engineering', 'machine learning', 'python', 'c', 'git', 'node.js', 'javascript', 'c++', 'data visualization', 'artificial intelligence', 'sql', 'java', 'software development']"
63,470182201,Mid,Bachelor’s,"['python', 'machine learning', 'tensorflow', 'reinforcement learning', 'keras', 'artificial intelligence', 'java', 'deep learning', 'matalab']"
64,610376482,Entry,Master's,"['python', 'machine learning', 'tensorflow', 'matlab', 'data visualization', 'r', 'java', 'computer vision', 'deep learning']"
65,445502985,Mid,Master's,"['machine learning', 'cloud computing', 'cascading style sheets (css)', 'c', 'git', 'apache kafka', 'algorithm', 'html', 'big data', 'sql', 'data science', 'data engineering', 'matlab', 'scikit-learn', 'java', 'software development', 'statistics', 'python', 'javascript', 'keras (tensorflow)', 'keras', 'c++']"
66,308312900,Entry,Master's,"['data mining', 'artificial neural networks', 'machine learning', 'python', 'matlab', 'research', 'scala', 'sql', 'r', 'statistics']"
67,174474212,Entry,Master's,"['research', 'html']"
68,72615128,Senior,Not Given,"['natural language processing', 'python', 'machine learning', 'c', 'c++', 'data structures', 'algorithm', 'html', 'eclipse', 'java', 'css', 'shell scripting']"
69,389543552,Entry,Master's,"['machine learning', 'python ', 'aws lambda', 'java']"
70,77380354,Senior,Master's,"['python', 'machine learning', 'c', 'git', 'javascript', 'c++', 'matlab', 'data structures', 'algorithm', 'html', 'sql', 'php', 'java', 'css']"
71,344063232,Entry,Master's,"['machine learning', 'docker products', 'cloud computing', 'pattern recognition', 'c', 'internet of things (iot)', 'computer science', 'algorithm', 'sql', 'devops', 'ai', 'data science', 'pytorch', 'matlab', 'data visualization', 'data structures', 'nlp', 'computer architecture', 'java', 'pandas', 'software development', 'statistics', 'tensorflow', 'keras', 'c++', 'computer vision', 'deep learning', 'python ']"
72,123652034,Entry,Master's,"['machine learning', 'android development', 'sql', 'html5', 'data science', 'node.js', 'pytorch', 'matlab', 'nosql', 'react', 'java', 'software development', 'python', 'docker', 'tensorflow', 'javascript', 'c++', 'keras', 'ruby']"
73,579669263,Entry,Master's,"['machine learning', 'reinforcement learning', 'bash', 'neural networks', 'ai', 'data engineering', 'pytorch', 'matlab', 'nlp', 'r', 'java', 'python', 'docker', 'tensorflow', 'keras', 'mapreduce', 'research', 'computer vision', 'deep learning', 'hadoop']"
74,558034209,Entry,Master's,"['data science', 'python', 'machine learning', 'c/c++', 'javascript', 'sql', 'java', 'statistics']"
75,425902569,Entry,Master's,"['natural language processing', 'python', 'machine learning', 'c', 'c++', 'research', 'html', 'css', 'deep learning']"
76,12733492,Senior,Not Given,"['numpy', 'python', 'c++', 'matlab', 'scipy', 'research']"
77,242935153,Senior,Not Given,"['speech technology', 'python', 'git', 'mathematica', 'c++', 'matlab', 'research', 'algorithm', 'speech recognition', 'statistics', 'python ']"
78,659990663,Entry,Master's,"['machine learning', 'microsoft visual studio code', 'javascript', 'computer vision', 'supervised learning', 'data structures', 'unsupervised learning', 'html', 'react', 'cascading style sheets (css)', 'exploratory data analysis', 'java', 'r ', 'scikit-learn', 'python ', 'c ', 'pycharm', 'visual studio']"
79,357232104,Mid,PhD,"['python', 'c', 'c++', 'matlab', 'objective-c', 'github', 'perl']"
80,739992963,Entry,Master's,"['back end tool flow,cnn', 'regression', 'machine learning', 'python', 'test automation', 'tensorflow', 'keras', 'nlp', 'perl', 'tableau', 'sql', 'scikit', 'pandas', 'deep learning', 'python ', 'ai']"
81,658409931,Entry,Bachelor’s,"['python', 'machine learning', 'c', 'git', 'text-to-speech', 'ocr', 'data structures', 'algorithm', 'java', 'computer vision', 'high performance computing (hpc)']"
82,734215792,Entry,Master's,"['object-oriented languages', 'web development', 'android development', 'cascading style sheets (css)', 'c ', 'git', 'algorithm', 'sql', 'html', 'github', 'applied machine learning', 'web applications', 'html5', 'nlp', 'data structures', 'java', 'software development', 'object-oriented software', 'c#', 'javascript', 'c++', 'front-end development', 'object-oriented programming (oop)', 'programming languages', 'machine learning algorithm', 'deep learning', 'python ']"
83,827216966,Entry,Bachelor’s,"['ux', 'python', 'java']"
84,340696781,Entry,Master's,"['machine learning', 'reinforcement learning', 'cascading style sheets (css)', 'c ', 'matplotlib,cnn', 'sql', 'html', 'recurrent neural networks (rnn)', 'ai', 'html5', 'data science', 'pyspark', 'pandas ', 'data visualization', 'nlp', 'scikit-learn', 'r', 'java', 'exploratory data analysis', 'software development', 'aws sagemaker', 'tensorflow', 'javascript', 'keras', 'scipy', 'computer vision', 'machine learning algorithm', 'deep learning', 'python ', 'tableau']"
85,383351669,Entry,Master's,"['machine learning', 'bayesian statistics', 'apache kafka', 'sql', 'statistical modeling', 'natural language processing', 'data science', 'pytorch', 'data visualization', 'scala', 'react', 'r', 'regression', 'python', 'time series analysis', 'tensorflow', 'javascript', 'keras', 'c++', 'google cloud platform (gcp)', 'd3.js', 'deep learning', 'tableau']"
86,508203688,Entry,PhD,"['data science', 'machine learning', 'python', 'reinforcement learning', 'linear algebra', 'matlab', 'research', 'r', 'java', 'linear', 'statistics']"
87,794263892,Mid,Master's,"['microsoft power bi', 'python ', 'data visualization']"
88,273640768,Entry,PhD,"['research', 'html', 'css']"
89,457684528,Mid,Master's,"['python', 'machine learning', 'javascript', 'nlp', 'sql', 'python ', 'tableau']"
90,623723001,Entry,PhD,"['machine learning', 'python', 'git', 'pytorch', 'tensorflow', 'c++', 'scrum', 'algorithm', 'sql', 'jenkins', 'java', 'computer vision', 'c ']"
91,790724839,Entry,Master's,"['machine learning', 'c ', 'data mining', 'internet of things (iot)', 'sql', 'big data', 'ai', 'data science', 'neural networks,cnn', 'data processing', 'data visualization', 'java', 'python', 'tensorflow', 'mapreduce', 'research', 'object-oriented programming (oop)', 'computer vision', 'deep learning', 'python ', 'hadoop']"
92,322610652,Mid,Master's,"['machine learning', 'python', 'git', 'pytorch', 'tensorflow', 'pandas ', 'c++', 'keras', 'c/c++ stl', 'algorithm', 'bash', 'java', 'deep learning', 'python ', 'ai']"
93,827470385,Entry,Master's,"['machine learning', 'tensorflow', 'javascript', 'c++', 'software testing', 'matlab', 'shell scripting', 'research', 'sql', 'php', 'github', 'software development', 'c ', 'python ']"
94,610376482,Entry,Master's,"['python', 'machine learning', 'tensorflow', 'matlab', 'data visualization', 'r', 'java', 'computer vision', 'deep learning']"
95,679010404,Mid,Master's,"['machine learning', 'data science basics', 'javascript', 'sql', 'php', 'cascading style sheets (css)', 'java', 'python ', 'html5']"
96,77380354,Senior,Master's,"['python', 'machine learning', 'c', 'git', 'javascript', 'c++', 'matlab', 'data structures', 'algorithm', 'html', 'sql', 'php', 'java', 'css']"
97,163866689,Mid,Master's,"['machine learning', 'html 5', 'objective-c', 'software engineering', 'c', 'algorithm', 'sql', 'html', 'eclipse', 'visual studio', 'angular', 'matlab', 'data structures', 'java', 'software development', 'python', 'c#', 'javascript', 'c++', 'php']"
98,287739553,Entry,Master's,"['reinforcement learning', 'data mining', 'numpy', 'c', 'algorithm', 'sql', 'statistical modeling', 'pytorch', 'matlab', 'nlp', 'data structures', 'scikit-learn', 'kubeflow', 'python', 'tensorflow', 'c++', 'php', 'go ', 'deep learning']"
99,47161128,Senior,Not Given,"['amazon ec2', 'rest', 'machine learning', 'python', 'opencv', 'git', 'unix shell scripting', 'pytorch', 'tensorflow', 'elasticsearch', 'keras', 'docker products', 'c++', 'shell scripting', 'computer vision', 'deep learning', 'python ']"
100,268799516,Entry,Master's,"['data science', 'python', 'machine learning', 'neural networks', 'nlp', 'deep learning', 'sql', 'computer vision', 'software development']"
101,368843200,Entry,Not Given,"['python', 'c#', 'web development', 'javascript', 'c++', 'html', 'php', 'r', 'java']"
102,629462197,Entry,Master's,"['django', 'python', 'c', 'c++', 'matlab', 'sql']"
103,508224945,Entry,Bachelor’s,"['python', 'c', 'javascript', 'html', 'java']"
104,278548240,Entry,Master's,"['python', 'machine learning', 'pytorch', 'tensorflow', 'c++', 'nlp', 'data structures', 'algorithm', 'sql', 'java', 'deep learning', 'python ', 'ai']"
105,428242853,Mid,Not Given,"['python', 'machine learning', 'tensorflow', 'c++', 'research']"
106,354703231,Entry,Master's,"['numpy', 'machine learning', 'python', 'opencv', 'reinforcement learning', 'pytorch', 'c++', 'machine learning in python', 'research', 'pandas', 'deep learning']"
107,375022118,Entry,PhD,"['machine learning', 'reinforcement learning', 'deep learning', 'numpy', 'spark', 'sql', 'ai', 'data science', 'pytorch', 'matlab', 'nlp', 'data modeling', 'r', 'scikit-learn', 'statistics', 'tensorflow', 'c++', 'keras', 'big data optimization', 'research', 'pandas ', 'python ', 'tableau']"
108,219839082,Senior,Master's,"['python', 'machine learning', 'tensorflow', 'keras', 'php', 'big data', 'sql']"
109,312986616,Entry,Master's,"['django', 'python', 'machine learning', 'c', 'c++', 'matlab', 'computer vision', 'deep learning', 'ai']"
110,468640448,Entry,Master's,"['applie machine learning', 'machine learning', 'opencv', 'reinforcement learning', 'nltk', 'object detection', 'data mining', 'numpy', 'algorithm', 'mongodb', 'flask', 'data science', 'transfer learning', 'pytorch', 'django rest framework', 'pandas ', 'nlp', 'data structures', 'nosql', 'scikit-learn', 'chatbot', 'python', 'tensorflow', 'keras', 'scipy', 'facial recognition', 'computer vision', 'deep learning']"
111,87280246,Entry,Master's,"['data mining', 'python', 'machine learning', 'c', 'c++', 'algorithm', 'sql', 'java']"
112,208706220,Entry,PhD,"['machine learning', 'nltk', 'git', 'neural networks', 'computer science', 'bayesian statistics', 'ai', 'data science', 'pytorch', 'matlab', 'nlp', 'statistics', 'python', 'tensorflow', 'javascript', 'c++', 'research', 'deep learning', 'python ']"
113,58423523,Senior,Master's,"['artificial neural networks', 'machine learning', 'bootstrap', 'web development', 'cloud computing', 'data mining', 'numpy', 'c', 'apache kafka', 'algorithm', 'sql', 'big data', 'eclipse', 'html', 'web applications', 'data science', 'node.js', 'data structures', 'r', 'java', 'hive', 'python', 'time series analysis', 'javascript', 'c++', 'mapreduce', 'artificial intelligence', 'jquery', 'hadoop']"
114,276535467,Senior,Not Given,"['data science', 'machine learning', 'python', 'jupyter', 'statistical learning', 'c++', 'matlab', 'data science & statistics', 'algorithm', 'sql', 'r', 'heuristic algorithm', 'statistics', 'rstudio']"
115,53917359,Senior,Master's,"['python', 'c', 'cuda', 'matlab', 'c++', 'algorithm', 'java', 'computer vision', 'gpu', 'statistics', 'perl']"
116,351064063,Mid,Bachelor’s,"['java programmer', 'c', 'c++', 'research', 'java', 'statistics']"
117,479697300,Entry,Master's,"['python', 'machine learning', 'c++', 'sql', 'r', 'ai', 'tableau', 'statistical modeling']"
118,400680128,Mid,Master's,"['data mining', 'data science', 'machine learning', 'python', 'data visualization', 'research', 'sql', 'r', 'computer vision', 'deep learning', 'tableau']"
119,457684528,Mid,Master's,"['python', 'machine learning', 'javascript', 'nlp', 'sql', 'python ', 'tableau']"
120,616940509,Mid,Master's,"['data science', 'python', 'machine learning', 'sql', 'r', 'statistics']"
121,650825046,Entry,Master's,"['machine learning', 'c++', 'research', 'sql', 'html', 'computer vision', 'deep learning', 'tableau', 'hadoop']"
122,687952990,Entry,Master's,"['matlab', 'r']"
123,737974451,Mid,Master's,"['data mining', 'data science', 'machine learning', 'c++', 'matlab', 'sql', 'java', 'r ', 'deep learning', 'c ', 'python ', 'ai', 'hadoop']"
124,442993521,Entry,Master's,"['python', 'machine learning', 'julia ', 'sql', 'r', 'python ']"
125,385876710,Entry,Bachelor’s,"['data science', 'rstudio', 'r']"
126,322990173,Entry,Master's,"['data visualization', 'research', 'economics', 'microsoft power bi', 'statistics', 'tableau']"
127,646990176,Entry,Not Given,"['machine learning', 'deep learning', 'microsoft power bi', 'rstudio', 'numpy', 'c', 'neural networks', 'hypothesis testing', 'mongodb', 'html', 'sql', 'statistical modeling', 'data science', 'nosql', 'data modeling', 'r', 'java', 'scikit-learn', 'statistics', 'regression', 'c++', 'pandas ', 'python ', 'tableau']"
128,307725385,Entry,Not Given,"['data science', 'a/b testing', 'c++', 'data visualization', 'nlp', 'research', 'sql', 'r', 'java', 'statistics', 'python ', 'statistical modeling']"
129,401469518,Mid,Master's,"['data science', 'machine learning']"
130,579915742,Entry,Master's,"['research', 'sql', 'python ']"
131,138490780,Senior,Master's,"['data science', 'machine learning', 'javascript', 'matlab', 'html', 'r', 'statistics', 'statistical modeling']"
132,358223983,Entry,Master's,"['data science', 'swift ', 'time series analysis', 'machine learning', 'ios development', 'python ']"
133,80971985,Entry,Master's,['economics']
134,502430833,Mid,Master's,"['python', 'c', 'html', 'sql', 'r']"
135,557552884,Mid,Bachelor’s,"['data mining', 'data science', 'numpy', 'data visualization', 'research', 'sql', 'matplotlib', 'pandas', 'python ']"
136,380580543,Mid,Bachelor’s,['research']
137,479697300,Entry,Master's,"['python', 'machine learning', 'c++', 'sql', 'r', 'ai', 'tableau', 'statistical modeling']"
138,400680128,Mid,Master's,"['data mining', 'data science', 'machine learning', 'python', 'data visualization', 'research', 'sql', 'r', 'computer vision', 'deep learning', 'tableau']"
139,457684528,Mid,Master's,"['python', 'machine learning', 'javascript', 'nlp', 'sql', 'python ', 'tableau']"
140,616940509,Mid,Master's,"['data science', 'python', 'machine learning', 'sql', 'r', 'statistics']"
141,650825046,Entry,Master's,"['machine learning', 'c++', 'research', 'sql', 'html', 'computer vision', 'deep learning', 'tableau', 'hadoop']"
142,687952990,Entry,Master's,"['matlab', 'r']"
143,737974451,Mid,Master's,"['data mining', 'data science', 'machine learning', 'c++', 'matlab', 'sql', 'java', 'r ', 'deep learning', 'c ', 'python ', 'ai', 'hadoop']"
144,442993521,Entry,Master's,"['python', 'machine learning', 'julia ', 'sql', 'r', 'python ']"
145,385876710,Entry,Bachelor’s,"['data science', 'rstudio', 'r']"
146,322990173,Entry,Master's,"['data visualization', 'research', 'economics', 'microsoft power bi', 'statistics', 'tableau']"
147,681555855,Entry,Master's,"['backend', 'data visualization', 'sql', 'r', 'java', 'statistics', 'python ']"
148,414568071,Mid,Master's,"['research', 'tableau']"
149,404147743,Mid,PhD,"['python', 'machine learning', 'artificial intelligence', 'algorithm', 'r', 'deep learning', 'python ']"
150,328463481,Entry,Master's,"['a/b testing', 'machine learning', 'python', 'time series analysis', 'feature selection', 'research', 'hypothesis testing', 'algorithm', 'sql', 'decision trees', 'r', 'economics', 'knn', 'pca', 'statistics', 'python ', 'tableau']"
151,651477149,Entry,Master's,"['machine learning', 'recommender systems', 'data mining', 'a/b testing', 'algorithm', 'sql', 'applied machine learning', 'flask', 'data science', 'spacy', 'data engineering', 'data visualization', 'nlp', 'exploratory data analysis', 'r', 'regression', 'tensorflow', 'cluster analysis', 'd3.js', 'machine learning algorithm', 'python ', 'tableau', 'hadoop']"
152,302061275,Entry,Master's,"['data mining', 'android', 'machine learning', 'pyspark', 'c', 'c++', 'matlab', 'nlp', 'sql', 'nltk', 'big data', 'java', 'deep learning', 'c ', 'python ', 'tableau', 'hadoop']"
153,551618879,Entry,Master's,"['sql', 'python', 'r', 'java']"
154,331186223,Mid,Master's,"['flask', 'machine learning', 'pyspark', 'linear regression', 'pytorch', 'c++', 'fast ai', 'bayesian statistics', 'research', 'sql', 'mongodb', 'exploratory data analysis', 'r', 'computer vision', 'python ', 'deep learning', 'hive', 'tableau']"
155,646990176,Entry,Not Given,"['machine learning', 'deep learning', 'microsoft power bi', 'rstudio', 'numpy', 'c', 'neural networks', 'hypothesis testing', 'mongodb', 'html', 'sql', 'statistical modeling', 'data science', 'nosql', 'data modeling', 'r', 'java', 'scikit-learn', 'statistics', 'regression', 'c++', 'pandas ', 'python ', 'tableau']"
156,307725385,Entry,Not Given,"['data science', 'a/b testing', 'c++', 'data visualization', 'nlp', 'research', 'sql', 'r', 'java', 'statistics', 'python ', 'statistical modeling']"
157,401469518,Mid,Master's,"['data science', 'machine learning']"
158,579915742,Entry,Master's,"['research', 'sql', 'python ']"
159,138490780,Senior,Master's,"['data science', 'machine learning', 'javascript', 'matlab', 'html', 'r', 'statistics', 'statistical modeling']"
160,358223983,Entry,Master's,"['data science', 'swift ', 'time series analysis', 'machine learning', 'ios development', 'python ']"
161,80971985,Entry,Master's,['economics']
162,502430833,Mid,Master's,"['python', 'c', 'html', 'sql', 'r']"
163,557552884,Mid,Bachelor’s,"['data mining', 'data science', 'numpy', 'data visualization', 'research', 'sql', 'matplotlib', 'pandas', 'python ']"
164,380580543,Mid,Bachelor’s,['research']
165,239667365,Entry,Not Given,"['data mining', 'data science', 'machine learning', 'docker', 'time series analysis', 'tensorflow', 'c++', 'nlp', 'economics', 'sql', 'scikit-learn', 'java', 'statistics', 'python ', 'statistical modeling']"
166,170891337,Mid,Not Given,"['python', 'machine learning', 'reinforcement learning', 'mathematica', 'c++', 'matlab', 'scikit-learn', 'r', 'statistics']"
167,47726834,Mid,PhD,"['python', 'machine learning', 'pytorch', 'research', 'r', 'computer vision', 'deep learning']"
168,525336492,Mid,Master's,"['python', 'machine learning', 'matlab', 'nlp', 'data structures', 'ocr', 'research', 'algorithm', 'sql', 'bash', 'r', 'java', 'deep learning', 'statistics', 'hive']"
169,397182301,Entry,Master's,"['python', 'pyspark', 'matlab', 'sql', 'r', 'tableau']"
170,360719024,Senior,Bachelor’s,"['regression', 'python', 'machine learning', 'interpretable machine learning', 'data visualization', 'r', 'forecasting']"
171,13099306,Senior,Master's,"['software engineering', 'machine learning', 'cloud security', 'c', 'c++', 'shell scripting', 'artificial intelligence', 'xgboost', 'sql', 'cloud computing', 'eclipse', 'java', 'software development', 'recurrent neural networks (rnn)', 'deep learning', 'perl', 'hadoop']"
172,58623831,Entry,Not Given,"['python', 'matlab', 'research', 'sql', 'r', 'hadoop']"
